17288,1
4970,4
3640,2
17287,1
2306,1
3638,2
2305,1
3639,2
2304,1
2303,1
2302,1
2301,1
2300,1
3630,3
4961,1
3631,3
4962,1
3632,3
4963,1
3633,3
2309,1
2307,1
17299,1
17295,1
4980,1
17296,1
3650,2
17297,1
3651,2
4982,1
17298,1
2320,1
17291,1
17292,2
17293,1
17294,1
17290,1
2317,1
3649,2
1,1
2316,1
2,1
3,1
2314,1
4,1
2313,1
2312,1
6,1
7,1
2310,1
8,1
9,1
3642,2
4973,4
3643,2
3644,2
4975,4
3645,2
3646,2
3647,2
4978,1
2318,1
3648,2
4979,1
17266,2
17267,1
17268,1
17269,1
4990,3
17262,1
3660,2
17263,1
3661,2
4992,7
17264,1
3662,1
4993,3
1000,1
2331,1
2330,1
17260,1
17261,1
2327,1
2326,1
2325,1
2322,1
3652,2
4983,1
4984,1
3654,2
3655,2
4986,1
3656,2
4987,3
3657,2
3659,2
17277,1
17278,1
17279,1
3670,1
17273,1
3671,1
17274,1
17275,1
3673,1
1011,2
2342,1
17270,1
17271,1
17272,1
2338,1
1006,1
2337,1
1005,1
2336,1
1004,3
2335,1
1003,3
2334,1
2333,1
1001,1
2332,1
4994,3
3664,1
3665,1
4996,3
3666,1
4997,3
3667,1
4998,3
3668,1
4999,1
3669,1
17245,1
17246,1
3680,2
17247,1
3681,2
3682,1
17241,1
3683,1
17242,1
3684,1
17243,2
1022,3
2353,3
1021,2
2352,3
1020,2
2350,3
1019,2
1018,2
2349,3
1017,2
1016,2
1015,2
2346,1
1014,2
2345,1
1012,2
3674,1
3675,1
3677,1
17248,1
17249,1
17256,1
3690,1
17257,1
3691,1
17258,1
3692,1
17251,1
3693,1
17252,1
3694,1
17253,1
3695,1
17254,1
1033,3
1032,3
2363,1
1031,3
2362,2
1030,3
2361,1
17250,1
1029,3
1028,3
2359,1
1027,3
2357,3
1025,3
2355,5
1023,3
2354,5
3685,1
3686,1
3687,1
3688,1
17222,1
17223,1
17224,1
17225,1
17221,1
1044,1
1043,1
1042,1
1041,6
1040,3
2370,3
1039,3
1038,3
1037,3
2368,2
1036,3
2367,1
1035,3
1034,3
3696,1
3697,1
3698,2
3699,2
17226,1
17227,1
17228,1
17229,1
17233,2
17234,2
17235,1
17236,1
17230,1
17231,1
17232,2
1055,1
2386,1
1054,1
1053,1
1052,1
1051,1
2382,2
1050,1
1049,1
1048,1
2379,3
1047,1
2378,3
1046,1
2377,3
1045,1
2376,3
1066,4
2397,1
1065,4
2396,1
1064,4
2395,1
1063,4
2394,1
1062,5
2393,1
